datetime,carbon_intensity,Throughput (Mbps)
2025-03-27 06:00:00+00:00,212.0,3602.645573624451
2025-03-27 06:07:25+00:00,212.0,3602.645573624451
2025-03-27 06:18:13+00:00,212.0,3430.057238731501
2025-03-27 06:29:01+00:00,212.0,3586.4418906400742
2025-03-27 06:39:48+00:00,212.0,3908.0715841264273
2025-03-27 06:50:36+00:00,212.0,4319.8924017839645
2025-03-27 07:00:00+00:00,214.0,4319.8924017839645
2025-03-27 07:01:24+00:00,214.0,3779.0288803010967
2025-03-27 07:12:12+00:00,214.0,4371.927459428022
2025-03-27 07:22:59+00:00,214.0,3992.770658614045
2025-03-27 07:33:47+00:00,214.0,3844.368291050932
2025-03-27 07:44:35+00:00,214.0,3869.334237826145
2025-03-27 07:55:23+00:00,214.0,3769.249054566829
2025-03-27 08:00:00+00:00,215.0,3769.249054566829
2025-03-27 08:06:11+00:00,215.0,3920.142923291789
2025-03-27 08:16:58+00:00,215.0,3801.8448577252425
2025-03-27 08:27:46+00:00,215.0,3739.404136751473
2025-03-27 08:38:34+00:00,215.0,3395.44186799499
2025-03-27 08:49:22+00:00,215.0,3844.5274469034566
2025-03-27 09:00:00+00:00,344.0,3844.5274469034566
2025-03-27 09:00:10+00:00,344.0,3893.50685874218
2025-03-27 09:10:57+00:00,344.0,4074.2141613663657
2025-03-27 09:21:45+00:00,344.0,3999.5389464601512
2025-03-27 09:32:33+00:00,344.0,3035.38183552525
2025-03-27 09:43:21+00:00,344.0,3442.4175196274223
2025-03-27 09:54:09+00:00,344.0,3471.198034063893
2025-03-27 10:00:00+00:00,349.0,3471.198034063893
2025-03-27 10:04:56+00:00,349.0,3908.501432056752
2025-03-27 10:15:44+00:00,349.0,3468.573610979868
2025-03-27 10:26:32+00:00,349.0,3882.1147794678486
2025-03-27 10:37:20+00:00,349.0,3888.658668626861
2025-03-27 10:48:08+00:00,349.0,3349.3000117996
2025-03-27 10:58:55+00:00,349.0,3775.231022788793
2025-03-27 11:00:00+00:00,350.0,3775.231022788793
2025-03-27 11:09:43+00:00,350.0,3964.044853919178
2025-03-27 11:20:31+00:00,350.0,4263.245518095092
2025-03-27 11:31:19+00:00,350.0,4154.164811763912
2025-03-27 11:42:07+00:00,350.0,3434.81505110733
2025-03-27 11:52:54+00:00,350.0,3608.635100218793
2025-03-27 12:00:00+00:00,353.0,3608.635100218793
2025-03-27 12:03:43+00:00,353.0,3730.3356581351823
2025-03-27 12:14:31+00:00,353.0,3670.989988546396
2025-03-27 12:25:19+00:00,353.0,4234.0357807357095
2025-03-27 12:36:07+00:00,353.0,4143.32068847541
2025-03-27 12:46:54+00:00,353.0,3400.566894061645
2025-03-27 12:57:42+00:00,353.0,3875.8954748410447
2025-03-27 13:00:00+00:00,344.0,3875.8954748410447
2025-03-27 13:08:30+00:00,344.0,3774.828260748047
2025-03-27 13:19:18+00:00,344.0,3513.444533403745
2025-03-27 13:30:06+00:00,344.0,3776.807336260733
2025-03-27 13:40:53+00:00,344.0,4008.107933400098
2025-03-27 13:51:41+00:00,344.0,3640.952601379873
2025-03-27 14:00:00+00:00,343.0,3640.952601379873
2025-03-27 14:02:29+00:00,343.0,3581.306433060756
2025-03-27 14:13:17+00:00,343.0,3622.2825076169943
2025-03-27 14:24:05+00:00,343.0,3511.24320656345
2025-03-27 14:34:52+00:00,343.0,3793.467046338121
2025-03-27 14:45:40+00:00,343.0,3522.346735370086
2025-03-27 14:56:28+00:00,343.0,3688.745856382044
2025-03-27 15:00:00+00:00,351.0,3688.745856382044
2025-03-27 15:07:16+00:00,351.0,3436.751560099648
2025-03-27 15:18:03+00:00,351.0,3543.858779606823
2025-03-27 15:28:52+00:00,351.0,3402.147501757664
2025-03-27 15:39:40+00:00,351.0,4261.232566944139
2025-03-27 15:50:28+00:00,351.0,4019.35949705182
2025-03-27 16:00:00+00:00,343.0,4019.35949705182
2025-03-27 16:01:16+00:00,343.0,3713.5640432917407
2025-03-27 16:12:04+00:00,343.0,3680.73572468763
2025-03-27 16:22:51+00:00,343.0,3532.3790693577976
2025-03-27 16:33:39+00:00,343.0,3486.5570374786457
2025-03-27 16:44:27+00:00,343.0,3720.067017233436
2025-03-27 16:55:15+00:00,343.0,3810.28239417733
2025-03-27 17:00:00+00:00,345.0,3810.28239417733
